Lon,Lat,HF [mW/m2],HF_min [mW/m2],HF_max [mW/m2],HF_max_abs [mW/m2]
82.85700000000001,-85.0,62.147,58.327,63.31100000000001,4.984
88.571,-85.0,59.06399999999999,59.06399999999999,61.86,2.7960000000000003
94.286,-85.0,66.979,58.012,71.415,13.402999999999999
100.0,-85.0,64.373,58.858999999999995,64.373,5.513999999999999
105.714,-85.0,63.882,59.505,64.016,4.511
111.429,-85.0,64.406,56.978,65.047,8.068999999999999
117.14299999999999,-85.0,63.415,58.26,63.415,5.155
122.85700000000001,-85.0,57.36,50.199,62.148999999999994,11.95
128.571,-85.0,53.574,52.02,64.181,12.161
134.286,-85.0,57.431999999999995,57.431999999999995,66.15,8.718
140.0,-85.0,57.906000000000006,57.906000000000006,66.532,8.626
145.714,-85.0,64.064,61.006,70.582,9.576
151.429,-85.0,62.012,60.847,68.735,7.888
157.143,-85.0,58.032,56.31399999999999,64.666,8.352
162.857,-85.0,65.973,61.387,65.973,4.586
168.571,-85.0,62.417,59.378,63.215,3.8369999999999997
174.28599999999997,-85.0,56.565,56.006,58.548,2.542
180.0,-85.0,60.398999999999994,56.503,60.398999999999994,3.8960000000000004
-180.0,-84.5,64.411,62.643,65.046,2.403
-174.783,-84.5,67.09,62.45,67.09,4.64
-169.565,-84.5,72.498,68.112,77.76100000000001,9.649
-164.34799999999998,-84.5,71.809,71.384,72.902,1.518
-159.13,-84.5,75.58800000000001,71.926,79.245,7.319
-153.91299999999998,-84.5,81.75399999999999,74.67,81.75399999999999,7.084
-148.696,-84.5,75.76,71.185,75.76,4.575
-143.47799999999998,-84.5,65.533,58.582,66.932,8.35
-138.261,-84.5,63.606,62.766999999999996,68.86399999999999,6.097
-133.043,-84.5,67.113,65.332,87.971,22.639
-127.82600000000001,-84.5,60.324,60.324,76.524,16.2
-122.609,-84.5,61.481,59.193000000000005,65.954,6.761
-117.391,-84.5,64.194,59.983999999999995,64.872,4.888
-112.17399999999999,-84.5,65.157,61.946999999999996,65.73,3.783
-106.95700000000001,-84.5,66.206,61.957,70.556,8.599
-101.73899999999999,-84.5,60.253,60.253,65.59100000000001,5.337999999999999
-96.522,-84.5,65.093,65.093,68.589,3.4960000000000004
-91.304,-84.5,70.87899999999999,69.788,74.866,5.078
-86.087,-84.5,67.70100000000001,67.468,69.847,2.379
-80.87,-84.5,62.669,61.452,71.607,10.155
-75.652,-84.5,77.23899999999999,68.464,93.17,24.706
-70.435,-84.5,69.65,66.977,69.65,2.673
-65.217,-84.5,56.667,56.667,67.89399999999999,11.227
-60.0,-84.5,64.242,64.242,84.177,19.935
-54.783,-84.5,59.515,59.515,65.385,5.87
-49.565,-84.5,61.826,61.365,65.184,3.819
-44.348,-84.5,61.727,60.401,67.54899999999999,7.148
-39.13,-84.5,56.771,55.931999999999995,63.402,7.47
-33.913000000000004,-84.5,59.58,52.916000000000004,65.7,12.784
-28.695999999999998,-84.5,54.016000000000005,52.174,64.013,11.839
-23.478,-84.5,61.528,52.863,69.01100000000001,16.148
-18.261,-84.5,61.365,54.505,68.109,13.604000000000001
-13.043,-84.5,54.363,48.878,58.07,9.192
-7.8260000000000005,-84.5,53.707,50.033,57.398,7.365
-2.609,-84.5,54.321999999999996,52.6,58.706,6.106
2.609,-84.5,58.856,52.302,60.852,8.55
7.8260000000000005,-84.5,55.995,51.659,59.503,7.843999999999999
13.043,-84.5,58.053999999999995,55.071000000000005,65.131,10.06
18.261,-84.5,55.153,55.153,64.113,8.96
23.478,-84.5,55.036,54.78,66.741,11.960999999999999
28.695999999999998,-84.5,56.327,50.472,60.952,10.48
